	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
Aguascalientes	443	45	502	47	427	36	422	35	462	30	422	38	386	28	406	25	387	39	432	22	422	21	407	25	505	27	508	27	466	20	493	26	470	26	510	45	520	62	536	68	564	84
Aguascalientes	308	33	361	34	302	23	284	24	317	24	269	30	257	22	250	19	239	24	277	15	282	13	280	17	348	23	320	13	319	14	341	16	329	19	338	36	343	47	359	47	359	67
Asientos	22	1	24	4	24	5	13	3	17	1	20	2	16	0	21	0	11	1	24	2	19	2	16	3	15	0	21	1	13	0	28	3	13	2	19	0	22	3	17	1	25	0
Calvillo	32	6	39	2	20	3	22	0	37	0	33	2	23	0	21	0	25	0	23	1	26	1	22	2	29	0	34	1	32	1	20	2	15	0	27	0	34	0	22	0	33	2
Cosío	6	0	7	0	5	0	10	0	7	0	6	0	8	1	14	2	7	0	8	0	4	0	11	0	10	1	7	1	4	0	4	0	11	0	7	1	11	0	4	1	9	2
Jesús María	30	2	20	1	31	2	23	2	18	1	21	0	20	1	35	3	20	2	23	0	27	1	25	0	24	0	28	0	32	1	32	4	36	3	32	1	33	4	40	10	40	2
Pabellón de Arteaga	10	1	10	2	15	1	16	0	22	1	9	1	20	1	12	0	20	4	17	1	16	1	10	0	15	1	26	4	14	1	17	0	16	1	18	1	16	3	24	2	28	3
Rincón de Romos	19	1	22	2	22	2	24	2	12	1	27	1	19	1	24	1	24	4	28	2	14	1	18	2	35	1	30	2	22	1	14	0	26	0	17	4	31	3	30	4	19	2
San José de Gracia	6	1	8	0	1	0	4	0	4	0	4	0	3	0	4	0	2	0	7	0	4	0	2	0	3	0	1	0	3	1	5	1	3	0	7	0	2	0	1	0	4	1
Tepezalá	8	0	8	1	7	0	4	0	6	1	8	1	5	0	12	0	9	2	6	0	10	1	7	0	10	0	14	0	10	0	11	0	5	0	11	1	6	1	8	0	12	1
